Schulz,Šulcas;
Baden,Badenas;
Brahms,Bramsas;
Läwitz,Lėvicas;
Laeven,Lėvenas;
Baedeker,Bėdekeris;
Schäffer,Šeferis;
Altranstädt,Altranštetas;
Wächter,Vechteris;
Kähler,Kėleris;
Maybach,Maibachas;
Faißt,Faistas;
Mayer,Majeris;
Nay,Najus;
Bräuning,Broiningas;
Säuritz,Zoiricas;
Bräuer,Brojeris;
Lübben,Liubenas;
Cainsdorf,Kainsdorfas;
Cremer,Krėmeris;
Marc,Markas;
Beckmann,Bekmanas;
Klopstock,Klopštokas;
Bruch,Brūchas;
Dachau,Dachau;
Fuchs,Fuchsas;
Arndt,Arntas;
Eichrodt,Eichrotas;
Weser,Vėzeris;
Engels,Engelsas;
Leezen,Lėcenas;
Behrens,Bėrensas;
Weimar,Veimaras;
Meyr,Meiras;
Beier,Bejeris;
Steiermark,Štejermarkas;
Alzey,Alcėjus;
Ley,Lėjus;
Euler,Oileris;
Heuer,Hojeris;
Feuerbach,Fojerbachas;
Hoffmann,Hofmanas;
Wolfgang,Volfgangas;
Göggingen,Gegingenas;
Elsnigk,Elsnikas;
Birkholz,Birkholcas;
Lohengrin,Lohengrynas;
Thälmann,Tėlmanas;
Jhering,Jėringas;
Ibach,Ybachas;
Widumann,Vydumanas;
Schwerin,Šverynas;
Schtrigel,Štrygelis;
Ribnitz,Ribnicas;
Rainer,Raineris;
Viersen,Fyrzenas;
Riehl,Rylis;
Nietzsche,Nyčė;
Diesel,Dyzelis;
Knihke,Knykė;
Jürgen,Jurgenas;
Luther,Liuteris;
Keller,Keleris;
Koopmann,Kopmanas;
Mohr,Moras;
Köthen,Kėtenas;
Störing,Štėringas;
Oeser,Ėzeris;
Goethe,Gėtė;
Görlitz,Gerlicas;
Köhler,Kėleris;
Oidtweiler,Oitveileris;
Nestroy,Nestrojus;
Zeppelin,Cepelynas;
Krupp,Krupas;
Pfalz,Pfalcas;
Rumpf,Rumpfas;
Phillippi,Filipis;
Stoph,Štofas;
Queller,Kveleris;
Mur,Muras;
Sparrenbusch,Šparenbušas;
Alfons,Alfonsas;
Wismar,Vismaras;
Mosel,Mozelis;
Schiller,Šileris;
Speidel,Špeidelis;
Lessing,Lesingas;
Strauß,Štrausas;
Staffelstein,Štafelšteinas;
Todt,Totas;
Lortzing,Lorcingas;
Bartsch,Barčas;
Tschirma,Čirma;
Gruber,Grūberis;
Ruderer,Rūdereris;
Kufstein,Kufšteinas;
Überlingen,Yberlingenas;
Uebermann,Ybermanas;
Üchtland,Ichtlandas;
Jülich,Jūlichas;
Jüterbog,Jūterbogas;
Jünger,Jungeris;
Grünewald,Griūnevaldas;
Müller,Miuleris;
Uhlberg,Ūlbergas;
Uhland,Ūlandas;
Huhn,Hūnas;
Ührchen,Yrchenas;
Dühring,Diūringas;
Vogtland,Fogtlandas;
Havel,Hafelis;
Wurzen,Vurcenas;
Hexenberg,Heksenbergas;
Marx,Marksas;
Mylau,Mylau;
Naunyn,Naunynas;
Meyer,Mejeris;
Ay,Ajus;
Alzey,Alcėjus;
Cyprian,Ciprianas;
Zack,Cakas;
Oehme,Ėmė;
Kühne,Kiūnė;
Zschokke,Čokė;
Beethoven,Bethovenas;
Edler,Edleris;
Friedrich,Frydrichas;
Thomas,Tomas;
Schiller,Šileris;
Mozart,Mocartas;
Adalbald,Adalbaldas;
Albert,Albertas;
Alfons,Alfonsas;
Almar,Almaras;
Archibald,Arhibaldas;
Arwin,Arvinas;
Berwin,Bervinas;
Carl,Karlas;
Egbert,Egbertas;
Eduard,Eduardas;
Ehrwald,Ėrvaldas;
Falk,Falkas;
Gunthar,Guntaras;
Gustav,Gustavas;
Haribald,Haribaldas;
Hauke,Haukė;
Haimo,Haimo;
Helmut,Helmutas;
Irmin,Irminas;
Tristan,Tristanas;
Knut,Knutas;
Kurt,Kurtas;
Leopold,Leopoldas;
Leif,Leifas;
Ole,Olė;
Oswin,Osvinas;
Otto,Otas;
Ralf,Ralfas;
Rainer,Raineris;
Raimund,Raimundas;
Rune,Runė;
Sungard,Zungardas;
Theobald,Teobaldas;
Till,Tilas;
Walbert,Valbertas;

